,DEPTH,W_Tar_calibrated,SW,VSH,PHI,RW_log,Lith_id_new,Predicted_Lith_id_new,SitID
202567,380.09,2.016,0.719,0.597,0.129,-0.4881166390211256,4,4,110325
202568,380.34,2.015,0.725,0.609,0.125,-0.4881166390211256,4,4,110325
202569,380.59,2.015,0.73,0.602,0.127,-0.4881166390211256,4,4,110325
202570,380.84,2.015,0.73,0.617,0.123,-0.4881166390211256,4,4,110325
202571,381.09,2.013,0.747,0.631,0.118,-0.4881166390211256,4,4,110325
202572,381.34,2.014,0.737,0.615,0.123,-0.4881166390211256,4,4,110325
202573,381.59,2.014,0.743,0.616,0.123,-0.4881166390211256,4,4,110325
202574,381.84,2.01,0.792,0.671,0.105,-0.4881166390211256,4,4,110325
202575,382.09,2.005,0.869,0.719,0.09,-0.4881166390211256,5,5,110325
202576,382.34,2.003,0.923,0.747,0.081,-0.4881166390211256,5,5,110325
202577,382.59,2.004,0.914,0.701,0.096,-0.4881166390211256,5,5,110325
202578,382.84,2.001,0.972,0.725,0.088,-0.4881166390211256,5,5,110325
202579,383.09,2.0,0.995,0.749,0.08,-0.4881166390211256,5,5,110325
202580,383.34,2.0,1.0,0.769,0.074,-0.4881166390211256,5,5,110325
202581,383.59,2.0,1.0,0.773,0.073,-0.4881166390211256,5,5,110325
202582,383.84,2.0,1.0,0.779,0.071,-0.4881166390211256,5,5,110325
202583,384.09,2.0,1.0,0.798,0.065,-0.4881166390211256,5,5,110325
202584,384.34,2.0,1.0,0.809,0.061,-0.4881166390211256,5,5,110325
202585,384.59,2.0,1.0,0.805,0.062,-0.4881166390211256,5,5,110325
202586,384.84,2.0,1.0,0.79,0.067,-0.4881166390211256,5,5,110325
202587,385.09,2.0,1.0,0.821,0.057,-0.4881166390211256,5,5,110325
202588,385.34,2.0,1.0,0.863,0.044,-0.4881166390211256,5,5,110325
202589,385.59,2.0,1.0,0.878,0.039,-0.4881166390211256,5,5,110325
202590,385.84,2.0,1.0,0.871,0.041,-0.4881166390211256,5,5,110325
202591,386.09,2.0,1.0,0.873,0.04,-0.4881166390211256,5,5,110325
202592,386.34,2.0,1.0,0.886,0.037,-0.4881166390211256,5,5,110325
202593,386.59,2.0,1.0,0.895,0.034,-0.4881166390211256,5,5,110325
202594,386.84,2.0,1.0,0.934,0.021,-0.4881166390211256,5,5,110325
202595,387.09,2.0,1.0,0.955,0.014,-0.4881166390211256,5,5,110325
202596,387.34,2.0,1.0,0.99,0.003,-0.4881166390211256,5,5,110325
202597,387.59,2.0,1.0,1.0,0.0,-0.4881166390211256,5,5,110325
202598,387.84,2.0,1.0,1.0,0.0,-0.4881166390211256,5,5,110325
202599,388.09,2.0,1.0,0.928,0.023,-0.48945498979338786,5,5,110325
202600,388.34,2.0,1.0,0.89,0.035,-0.48945498979338786,5,5,110325
202601,388.59,2.0,1.0,0.851,0.048,-0.48945498979338786,5,5,110325
202602,388.84,2.0,1.0,0.809,0.061,-0.48945498979338786,5,5,110325
202603,389.09,2.0,1.0,0.772,0.073,-0.48945498979338786,5,5,110325
202604,389.34,2.002,0.954,0.718,0.09,-0.48945498979338786,5,5,110325
202605,389.59,2.011,0.772,0.671,0.105,-0.48945498979338786,4,4,110325
202606,389.84,2.023,0.635,0.558,0.14,-0.48945498979338786,4,4,110325
202607,390.09,2.012,0.777,0.407,0.125,-0.48945498979338786,5,2,110325
202608,390.34,2.0,1.0,0.321,0.062,-0.48945498979338786,5,2,110325
202609,390.59,2.019,0.698,0.409,0.141,-0.48945498979338786,2,2,110325
202610,390.84,2.028,0.61,0.493,0.162,-0.48945498979338786,2,2,110325
202611,391.09,2.019,0.684,0.578,0.135,-0.48945498979338786,4,4,110325
202612,391.34,2.019,0.707,0.556,0.142,-0.48945498979338786,4,4,110325
202613,391.59,2.018,0.726,0.552,0.143,-0.48945498979338786,4,4,110325
202614,391.84,2.016,0.748,0.557,0.142,-0.48945498979338786,4,4,110325
202615,392.09,2.015,0.757,0.563,0.14,-0.48945498979338786,4,4,110325
202616,392.34,2.014,0.774,0.575,0.136,-0.48945498979338786,4,4,110325
202617,392.59,2.013,0.782,0.591,0.131,-0.48945498979338786,4,4,110325
202618,392.84,2.012,0.793,0.607,0.126,-0.48945498979338786,4,4,110325
202619,393.09,2.01,0.81,0.632,0.118,-0.48945498979338786,4,4,110325
202620,393.34,2.008,0.834,0.654,0.111,-0.48945498979338786,4,4,110325
202621,393.59,2.009,0.834,0.638,0.116,-0.48945498979338786,4,4,110325
202622,393.84,2.006,0.883,0.655,0.111,-0.48945498979338786,4,4,110325
202623,394.09,2.002,0.952,0.701,0.096,-0.48945498979338786,5,5,110325
202624,394.34,2.0,1.0,0.725,0.088,-0.48945498979338786,5,5,110325
202625,394.59,2.0,1.0,0.738,0.084,-0.48945498979338786,5,5,110325
202626,394.84,2.0,1.0,0.731,0.086,-0.48945498979338786,5,5,110325
202627,395.09,2.0,1.0,0.74,0.083,-0.48945498979338786,5,5,110325
202628,395.34,2.0,1.0,0.739,0.083,-0.48945498979338786,5,5,110325
202629,395.59,2.0,1.0,0.748,0.081,-0.48945498979338786,5,5,110325
202630,395.84,2.0,1.0,0.727,0.087,-0.48945498979338786,5,5,110325
202631,396.09,2.001,0.973,0.69,0.099,-0.4907974776688971,4,4,110325
202632,396.34,2.0,1.0,0.644,0.1,-0.4907974776688971,4,4,110325
202633,396.59,2.0,1.0,0.643,0.078,-0.4907974776688971,4,4,110325
202634,396.84,2.0,0.996,0.701,0.094,-0.4907974776688971,5,5,110325
202635,397.09,2.0,1.0,0.714,0.091,-0.4907974776688971,5,5,110325
202636,397.34,2.002,0.969,0.661,0.109,-0.4907974776688971,4,4,110325
202637,397.59,2.0,1.0,0.687,0.1,-0.4907974776688971,4,4,110325
202638,397.84,2.0,1.0,0.753,0.079,-0.4907974776688971,5,5,110325
202639,398.09,2.0,0.994,0.69,0.099,-0.4907974776688971,4,4,110325
202640,398.34,2.005,0.912,0.635,0.117,-0.4907974776688971,4,4,110325
202641,398.59,2.005,0.909,0.636,0.116,-0.4907974776688971,4,4,110325
202642,398.84,2.004,0.913,0.648,0.113,-0.4907974776688971,4,4,110325
202643,399.09,2.001,0.981,0.702,0.095,-0.4907974776688971,5,5,110325
202644,399.34,2.0,1.0,0.725,0.088,-0.4907974776688971,5,5,110325
202645,399.59,2.0,1.0,0.767,0.075,-0.4907974776688971,5,5,110325
202646,399.84,2.0,1.0,0.776,0.066,-0.4907974776688971,5,5,110325
202647,400.09,2.0,1.0,0.754,0.075,-0.4907974776688971,5,5,110325
202648,400.34,2.0,1.0,0.72,0.09,-0.4907974776688971,5,5,110325
202649,400.59,2.0,1.0,0.689,0.099,-0.4907974776688971,4,4,110325
202650,400.84,2.0,1.0,0.668,0.106,-0.4907974776688971,4,4,110325
